param1,param2,param3,param4,param5,param6,param7,param8,param10,param11,param12,param13,param14,param15,param16,param17,is_anomaly
0.563485635,39,1,1,64,2.98068,10,6,0,0,7815,8344,100,0,4,1.138158551,0
0.281682817,11,1,0,93,0.42304,3,1,1,0,5014,6045,100,1,2,0.570809575,1
0.214592146,14,0,1,85,0.33204,1,6,1,1,5520,7062,100,1,4,0.434823065,0
0.601626016,93,1,0,9,2.78612,5,9,1,1,874,2635,101,1,9,1.21379583,1
0.916269163,83,1,0,55,2.36692,4,5,1,1,2684,784,101,1,8,1.848502933,1
0.444764448,27,0,1,13,0.5834,9,10,0,0,9906,3023,101,0,2,0.897230593,0
0.63600636,7,1,1,20,3.39168,6,6,0,1,305,7532,101,0,8,1.284087893,0
0.903749037,86,0,1,24,0.67508,9,3,0,0,4161,7692,102,0,6,1.823146335,0
0.790737907,21,0,1,17,0.41064,8,4,1,0,4342,8427,102,0,2,1.595442181,0
0.465584656,52,0,1,28,2.37188,2,5,0,1,3828,8690,102,0,10,0.940149976,0
0.302393024,27,1,1,5,3.94876,7,2,1,1,9134,6671,102,1,0,0.610803733,1
0.376773768,5,1,1,32,0.55516,10,5,1,0,5108,973,102,0,8,0.761357443,1
0.106521065,2,1,0,42,2.52196,7,5,1,0,9021,4823,102,0,2,0.215574404,1
0.85104851,7,1,0,37,0.93772,9,6,1,1,4537,5629,103,1,2,1.717086278,1
0.292332923,22,1,1,5,2.1782,9,7,1,1,1527,1522,103,0,3,0.590219781,1
0.75095751,10,1,1,18,1.21784,4,5,1,1,7986,4416,103,1,9,1.514742231,1
0.965809658,28,1,1,36,1.7366,10,5,1,0,2176,9890,104,1,9,1.949731214,1
0.613356134,61,0,1,13,1.13036,7,4,1,0,2805,1332,104,0,7,1.237310774,0
0.230612306,28,0,1,40,2.68916,5,2,1,0,5783,4157,104,1,0,0.466125493,0
0.682756828,93,0,1,54,3.3162,4,6,1,0,3586,6606,104,1,6,1.377601246,0
0.560075601,65,0,1,81,3.20236,6,9,0,0,5027,2795,104,0,4,1.129943207,0
0.577895779,60,1,1,24,2.33208,1,6,1,0,5651,7192,105,0,5,1.166812149,1
0.517775178,6,1,1,38,2.674,7,1,1,0,6619,7721,105,0,8,1.045509385,1
0.029780298,3,1,1,29,1.84472,3,7,1,1,1578,6660,105,0,5,0.061999908,1
0.588645886,11,0,1,1,2.52712,8,3,1,0,7302,9803,105,0,9,1.187721024,0
0.124921249,46,1,1,58,1.07896,2,1,1,0,7229,4684,106,1,3,0.255000326,1
0.148651487,48,1,0,9,2.9068,5,9,1,1,294,1597,106,0,1,0.300894871,1
0.00202002,18,1,0,82,1.53288,2,4,1,1,5740,8505,106,1,6,0.005704451,1
0.530195302,41,1,0,8,0.8966,7,5,1,1,4970,7180,106,0,4,1.069872731,1
0.987059871,21,1,1,22,1.02064,1,10,1,0,2364,6795,106,1,7,1.990737011,1
0.975669757,74,1,0,41,0.404,10,3,0,0,4550,8492,106,1,6,1.968656203,0
0.034520345,7,0,1,76,2.50752,8,8,0,0,6823,9422,106,0,1,0.071643341,0
0.227862279,23,0,0,81,2.05844,1,5,1,1,1188,7958,107,1,6,0.459860548,0
0.789937899,50,1,0,72,0.2922,7,8,1,1,7677,6177,107,0,2,1.593848013,1
0.297522975,86,0,1,25,1.7278,6,9,1,1,3953,753,107,0,7,0.601311986,0
0.407874079,73,0,1,88,3.74304,6,9,0,1,359,8099,107,1,4,0.824810862,0
0.33201332,17,1,1,77,3.24204,10,6,1,0,9550,748,107,0,5,0.671310657,1
0.77100771,83,1,1,63,2.63372,8,7,0,1,6924,3127,107,1,8,1.556225381,0
0.914589146,44,0,0,49,2.95256,10,8,1,0,2763,1749,108,1,6,1.844595886,0
0.370413704,95,1,1,42,0.28416,5,1,1,1,5601,4694,108,0,3,0.74844842,1
0.718937189,1,1,0,100,0.14244,3,5,1,0,2997,2741,108,1,8,1.451834387,1
0.482234822,48,1,0,30,1.12156,7,10,1,1,8779,6695,108,1,2,0.973128987,1
0.456904569,93,1,0,69,2.3696,9,6,0,0,1332,3533,108,0,8,0.922994911,0
0.797447974,36,1,0,50,3.7042,4,8,1,1,1480,4074,108,1,0,1.608662437,1
0.873538735,5,1,1,47,1.03968,8,3,1,1,5013,5168,108,0,8,1.76311882,1
0.835888359,82,1,1,57,0.70428,3,4,1,1,2598,746,108,1,2,1.687313687,1
0.74300743,50,1,0,14,2.77264,10,9,0,1,8604,7168,109,1,10,1.499148957,0
0.774617746,73,1,0,85,1.85292,6,10,1,1,2672,1365,109,0,2,1.563666956,1
0.889268893,38,0,0,23,2.0254,8,5,1,1,7979,4141,109,0,6,1.793042431,0
0.780187802,36,1,0,14,0.06996,2,9,1,0,4892,4414,109,1,0,1.573876608,1
0.489604896,32,1,0,10,3.4928,5,4,1,0,7233,25,109,0,9,0.988244322,1
0.409114091,43,1,1,2,3.2942,6,10,0,0,3691,9423,109,0,8,0.826613809,0
0.803248032,47,1,1,7,0.81576,3,2,1,1,325,3203,109,0,9,1.620822891,1
0.744777448,22,1,1,27,2.47988,9,8,1,0,8045,9970,109,0,6,1.502777854,1
0.568195682,66,1,0,55,0.48696,5,10,1,0,2052,7119,110,1,6,1.146805142,1
0.928379284,32,1,0,8,2.32704,7,8,1,1,9339,7286,110,0,10,1.872778542,1
0.140291403,72,1,0,12,3.45436,3,5,1,0,7523,6660,110,0,9,0.283975842,1
0.01097011,31,0,0,66,1.98412,7,5,1,0,2597,6667,110,1,8,0.023065694,0
0.830728307,42,0,1,20,3.87408,4,9,0,1,1269,7766,110,0,10,1.675787493,0
0.314193142,80,1,0,6,2.044,7,3,0,1,8002,242,110,0,4,0.6345632,0
0.406224062,96,1,0,94,2.0454,5,1,0,0,1930,1965,110,0,9,0.820753379,0
0.776907769,87,1,0,60,0.91824,1,3,1,0,6027,151,110,0,9,1.567876346,1
0.280762808,4,1,1,86,3.63864,3,1,0,1,6596,8735,110,0,4,0.568454763,0
0.530775308,84,1,0,92,3.32928,4,2,0,0,5494,208,110,0,0,1.071966932,0
0.21297213,71,1,1,14,3.00616,2,3,1,1,8198,4951,111,0,4,0.430783565,1
0.628786288,95,0,0,41,2.68396,6,6,1,0,7662,424,111,0,3,1.267948237,0
0.483314833,2,1,1,42,0.05136,5,8,0,1,2820,3403,112,0,9,0.975750882,0
0.341363414,60,1,1,18,2.75044,8,9,1,1,6937,16,112,0,4,0.689965097,1
0.612086121,51,1,0,39,3.44964,2,6,0,1,4494,71,112,1,10,1.235088978,0
0.826808268,89,1,1,27,1.5962,9,7,0,1,1537,1290,112,0,0,1.668014181,0
0.540425404,17,1,1,76,2.3864,7,6,1,0,2160,5116,112,0,4,1.092542962,1
0.175181752,98,1,1,59,0.27656,5,2,0,0,5802,1381,113,1,5,0.354867954,0
0.912399124,99,1,1,28,3.5128,9,6,1,1,2326,2730,113,0,10,1.841342613,1
0.710247102,8,1,1,85,2.39324,8,5,0,1,8673,9097,113,1,1,1.433991194,0
0.645056451,89,0,0,92,0.74948,8,1,0,1,970,5007,113,0,9,1.302190547,0
0.677356774,36,0,1,24,3.18308,1,5,0,1,3289,3015,113,0,2,1.366454467,0
0.814258143,17,1,0,99,3.164,4,7,1,1,9406,1683,114,0,8,1.64405408,1
0.129831298,7,1,1,19,2.84676,9,2,1,0,7650,956,114,0,9,0.263159161,1
0.18104181,76,0,0,69,2.22528,7,2,1,1,2244,7407,114,0,0,0.366285101,0
0.663896639,6,1,0,46,0.88256,7,8,1,0,3359,2188,114,1,9,1.339560209,1
0.529485295,91,1,1,10,0.15,8,9,1,0,190,1341,114,1,6,1.06883065,1
0.488674887,40,0,0,56,2.71712,1,6,1,0,4212,1916,114,0,10,0.985745183,0
0.303463035,25,1,0,80,0.9952,9,5,1,1,2677,142,114,1,2,0.614426804,1
0.73196732,19,0,1,48,0.67464,3,5,0,0,7389,5683,114,1,2,1.476916686,0
0.027700277,36,1,1,86,2.70364,3,5,1,1,6653,2988,114,0,3,0.05753777,1
0.914199142,55,1,0,1,1.89888,8,9,1,1,3394,6556,115,0,2,1.844082627,1
0.236822368,31,1,0,97,2.4782,3,10,1,1,4705,9969,115,0,4,0.480024906,1
0.575815758,22,1,0,34,0.4486,4,8,1,0,1251,1650,115,0,5,1.162517864,1
0.562235622,1,1,0,73,3.40452,10,4,1,0,4302,1928,115,0,1,1.135902422,1
0.312313123,65,0,1,72,3.7156,3,3,1,1,6499,2666,115,0,5,0.631505159,0
0.16101161,66,1,1,36,0.21752,5,1,1,0,1772,6971,115,0,10,0.326834281,1
0.628166282,59,1,1,56,3.5106,8,6,1,1,7894,8574,116,0,9,1.269214137,1
0.25204252,31,1,1,37,3.50208,4,10,1,0,6560,4287,116,0,6,0.51015157,1
0.444844448,92,1,0,19,3.51164,4,3,1,0,3830,7477,116,1,0,0.897501788,1
0.789777898,96,0,1,58,3.21696,4,2,1,1,9457,2583,116,0,3,1.593867104,0
0.457304573,11,0,1,99,0.91652,6,9,0,1,1919,9706,116,0,10,0.923998003,0
0.25897259,98,1,0,92,0.81376,2,4,0,1,9799,9569,116,1,10,0.523916011,0
0.988579886,85,1,0,15,2.309,2,3,1,1,854,8646,116,1,3,1.993823236,1
0.508905089,49,0,1,90,3.11708,2,4,0,0,180,1761,117,1,5,1.027018707,0
0.136881369,9,0,0,19,1.22628,3,4,0,0,6489,8277,117,0,10,0.276069232,0
0.695676957,77,0,1,23,3.29812,7,5,1,1,8195,5872,117,0,3,1.403601117,0
0.187851879,27,0,1,50,2.38296,7,1,1,0,324,8718,117,0,9,0.380207638,0
0.924949249,18,1,0,90,3.06028,4,3,1,0,3100,2107,117,1,9,1.86572626,1
